id:ID,label:LABEL,name,ifcType,x,y,z
0FGjhNKyP2GutkS0az2Whz,IfcBuildingElementProxy,319452,IfcBuildingElementProxy,35.79134501316721,-0.04149692663619042,1.23416666666652
0FGjhNKyP2GutkS0az2Why,IfcBuildingElementProxy,319453,IfcBuildingElementProxy,35.76117834650059,-0.041496926636189535,1.9974999999995502
3ht0E5761F1AEF6EGu7XP1,IfcColumn,Columns_Rectangular:Column1:321842,IfcColumn,29.8101783465005,-5.66578823028787,2.44
2p9dBjXmzADPhsApGjZk3F,IfcColumn,Columns_Rectangular:Column2:349115,IfcColumn,19.4071320868956,-5.683120355662259,2.44
2p9dBjXmzADPhsApGjZkTk,IfcColumn,Columns_Rectangular:Column2:349210,IfcColumn,14.265074582564003,-5.683120355662242,2.44
2p9dBjXmzADPhsApGjZkT6,IfcColumn,Columns_Rectangular:Column2:349234,IfcColumn,9.141074047302478,-5.68312035566223,2.44
2p9dBjXmzADPhsApGjZkSS,IfcColumn,Columns_Rectangular:Column2:349288,IfcColumn,3.9810740473024797,-5.683120355662211,2.44
2p9dBjXmzADPhsApGjZkSE,IfcColumn,Columns_Rectangular:Column2:349306,IfcColumn,-1.03892595269752,-5.683120355662191,2.44
2p9dBjXmzADPhsApGjZkQH,IfcColumn,Columns_Rectangular:Column1:349669,IfcColumn,35.0771783465005,-5.66578823028787,2.44
2p9dBjXmzADPhsApGjZkKv,IfcColumn,Columns_Rectangular:Column1:349773,IfcColumn,24.610178346500504,-5.665788230287859,2.44
0jQ0b5jbn7mOgnFhugSwEU,IfcColumn,Columns_Rectangular:Column2:352269,IfcColumn,-11.3195293749458,-5.683649468460559,2.44
0jQ0b5jbn7mOgnFhugSwFs,IfcColumn,Columns_Rectangular:Column2:352357,IfcColumn,-16.4787426679125,-5.66629387715722,2.44
0jQ0b5jbn7mOgnFhugSwFa,IfcColumn,Columns_Rectangular:Column2:352375,IfcColumn,-21.638717871125003,-5.6493428936697,2.44
0jQ0b5jbn7mOgnFhugSwDH,IfcColumn,Columns_Rectangular:Column2:352450,IfcColumn,-22.1187155644471,-5.64776605799644,2.44
0jQ0b5jbn7mOgnFhugSwAL,IfcColumn,Columns_Rectangular:Column2:352518,IfcColumn,-28.918682886510002,-5.62542755262533,2.44
0jQ0b5jbn7mOgnFhugSwO0,IfcColumn,Columns_Rectangular:Column3:353683,IfcColumn,-22.2528716534994,6.1996837861141705,2.74
0jQ0b5jbn7mOgnFhugSwPb,IfcColumn,Columns_Rectangular:Column3:353782,IfcColumn,-21.511621653499397,6.178128073363999,3.74
0jQ0b5jbn7mOgnFhugSwM2,IfcColumn,Columns_Rectangular:Column3:353809,IfcColumn,-16.464121653499394,6.17812807336399,3.74
0jQ0b5jbn7mOgnFhugSwMv,IfcColumn,Columns_Rectangular:Column3:353834,IfcColumn,-11.324121653499402,6.178128073363969,3.74
0jQ0b5jbn7mOgnFhugSwNF,IfcColumn,Columns_Rectangular:Column3:353884,IfcColumn,-6.204121653499421,6.1781280733639505,3.74
0jQ0b5jbn7mOgnFhugSwNf,IfcColumn,Columns_Rectangular:Column3:353914,IfcColumn,-1.0641216534994202,6.2651280733639405,2.74
0jQ0b5jbn7mOgnFhugSwIG,IfcColumn,Columns_Rectangular:Column3:354051,IfcColumn,3.92887834650058,6.20342807336392,3.5400000000000005
0jQ0b5jbn7mOgnFhugSwIS,IfcColumn,Columns_Rectangular:Column3:354063,IfcColumn,9.11587834650058,6.178128073363899,3.74
0jQ0b5jbn7mOgnFhugSwI8,IfcColumn,Columns_Rectangular:Column3:354075,IfcColumn,14.261378346500596,6.17812807336389,3.74
0jQ0b5jbn7mOgnFhugSwIw,IfcColumn,Columns_Rectangular:Column3:354089,IfcColumn,19.406378346500603,6.178128073363868,3.74
3if5novVfESe_Au42$2x5I,IfcColumn,Columns_Rectangular:Column2:354450,IfcColumn,-6.18775494256348,-5.678117683342319,2.44
3if5novVfESe_Au42$2x15,IfcColumn,Columns_Rectangular:Column4:354693,IfcColumn,24.528804753371798,6.45616486992826,2.74
1Wg7AH23jBLBf1DmtTnL5L,IfcCurtainWall,Curtain Wall:Curtain_Wall-Storefront:445813,IfcCurtainWall,,,
1Wg7AH23jBLBf1DmtTnKd4,IfcCurtainWall,Curtain Wall:Curtain_Wall-Storefront:447972,IfcCurtainWall,,,
1Wg7AH23jBLBf1DmtTnKgB,IfcCurtainWall,Curtain Wall:Curtain_Wall-Storefront:448171,IfcCurtainWall,,,
1Wg7AH23jBLBf1DmtTnKk1,IfcCurtainWall,Curtain Wall:Curtain_Wall-Storefront:448417,IfcCurtainWall,,,
2V9H2E8FD8fuBJFUErPq1X,IfcCurtainWall,Curtain Wall:Curtain_Wall-Storefront:450558,IfcCurtainWall,,,
2V9H2E8FD8fuBJFUErPtzO,IfcCurtainWall,Curtain Wall:Curtain_Wall-Storefront:450759,IfcCurtainWall,,,
2V9H2E8FD8fuBJFUErPtuS,IfcCurtainWall,Curtain Wall:Curtain_Wall-Storefront:450947,IfcCurtainWall,,,
2V9H2E8FD8fuBJFUErPtsm,IfcCurtainWall,Curtain Wall:Curtain_Wall-Storefront:451119,IfcCurtainWall,,,
1yuiwzGI5FCPxrfaANPMyB,IfcCurtainWall,Curtain Wall:Curtain_Wall-Storefront Section sud:509398,IfcCurtainWall,,,
1yuiwzGI5FCPxrfaANPMHG,IfcCurtainWall,Curtain Wall:Curtain_Wall-Storefront Section sud:511629,IfcCurtainWall,,,
1yuiwzGI5FCPxrfaANPMLR,IfcCurtainWall,Curtain Wall:Curtain_Wall-Storefront Section sud 1:511878,IfcCurtainWall,,,
1yuiwzGI5FCPxrfaANPNgf,IfcCurtainWall,Curtain Wall:Curtain_Wall-Storefront Section sud 1:512116,IfcCurtainWall,,,
3lB7ux_6X6lA8nOgr2eC7X,IfcDoor,Door_T51:Door_T51:324669,IfcDoor,31.00776267004184,-6.07383373468223,0.9347738110581277
3lB7ux_6X6lA8nOgr2eCc5,IfcDoor,Door_T34:Left:326745,IfcDoor,27.125505601287458,6.128684387429141,1.0248815165875456
3lB7ux_6X6lA8nOgr2eCb4,IfcDoor,Door_T34:Right:326808,IfcDoor,32.24208622780847,6.128684387429112,1.0248815165875458
1Wg7AH23jBLBf1DmtTnL5Q,IfcDoor,Doors_Dbl_Glass_4_ARENA2:Glass_Dbl_Door:445818,IfcDoor,-13.844116599516209,5.93905987447974,0.9551161985764753
1Wg7AH23jBLBf1DmtTnKd7,IfcDoor,Doors_Dbl_Glass_4_ARENA2:Glass_Dbl_Door:447975,IfcDoor,6.595883400483811,5.939059874479667,0.9551161985764753
1Wg7AH23jBLBf1DmtTnKgE,IfcDoor,Doors_Dbl_Glass_4_ARENA2:Glass_Dbl_Door:448174,IfcDoor,11.741383400483832,5.9390598744796455,0.9551161985764753
1Wg7AH23jBLBf1DmtTnKk4,IfcDoor,Doors_Dbl_Glass_4_ARENA2:Glass_Dbl_Door:448420,IfcDoor,16.891383400483836,5.939059874479613,0.9551161985764753
2V9H2E8FD8fuBJFUErPt_U,IfcDoor,Doors_Dbl_Glass_4_ARENA2:Glass_Dbl_Door:450561,IfcDoor,21.999407786162934,5.939059874479592,0.9551161985764753
2V9H2E8FD8fuBJFUErPtzL,IfcDoor,Doors_Dbl_Glass_4_ARENA2:Glass_Dbl_Door:450762,IfcDoor,-18.994116599516154,5.939059874479741,0.9551161985764753
2V9H2E8FD8fuBJFUErPtuP,IfcDoor,Doors_Dbl_Glass_4_ARENA2:Glass_Dbl_Door:450950,IfcDoor,-8.714116599516206,5.939059874479707,0.9551161985764753
